,id,season,city,date,team_1,team_2,toss_winner,toss_decision,result,winner,win_by_runs,win_by_wickets,player_of_match,venue,inning_1_score,inning_2_score,team_batting_first,team_batting_second
76,77,IPL-2008,Hyderabad,2008-01-05,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,normal,Kings XI Punjab,0,7,SE Marsh,"RGIS, Uppal",164,167,Deccan Chargers,Kings XI Punjab
77,78,IPL-2008,Jaipur,2008-01-05,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,normal,Rajasthan Royals,45,0,SA Asnodkar,Sawai Mansingh Stadium,196,151,Rajasthan Royals,Kolkata Knight Riders
116,117,IPL-2008,Mumbai,2008-01-06,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,normal,Rajasthan Royals,0,3,YK Pathan,Dr DY Patil Sports Academy,163,164,Chennai Super Kings,Rajasthan Royals
78,79,IPL-2008,Chennai,2008-02-05,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,bat,normal,Delhi Daredevils,0,8,V Sehwag,Chepauk,169,172,Chennai Super Kings,Delhi Daredevils
80,81,IPL-2008,Chandigarh,2008-03-05,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,bat,normal,Kings XI Punjab,9,0,IK Pathan,"Punjab Cricket Association Stadium, Mohali",178,169,Kings XI Punjab,Kolkata Knight Riders
110,111,IPL-2008,Bangalore,2008-03-05,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,field,normal,Royal Challengers Bangalore,3,0,P Kumar,M Chinnaswamy Stadium,156,153,Royal Challengers Bangalore,Deccan Chargers
82,83,IPL-2008,Jaipur,2008-04-05,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,normal,Rajasthan Royals,0,8,Sohail Tanvir,Sawai Mansingh Stadium,109,110,Chennai Super Kings,Rajasthan Royals
81,82,IPL-2008,Mumbai,2008-04-05,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,normal,Mumbai Indians,29,0,SM Pollock,Dr DY Patil Sports Academy,162,133,Mumbai Indians,Delhi Daredevils
59,60,IPL-2008,Bangalore,2008-04-18,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,Kolkata Knight Riders,140,0,BB McCullum,M Chinnaswamy Stadium,222,82,Kolkata Knight Riders,Royal Challengers Bangalore
60,61,IPL-2008,Chandigarh,2008-04-19,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,normal,Chennai Super Kings,33,0,MEK Hussey,"Punjab Cricket Association Stadium, Mohali",240,207,Chennai Super Kings,Kings XI Punjab
61,62,IPL-2008,Delhi,2008-04-19,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,bat,normal,Delhi Daredevils,0,9,MF Maharoof,Feroz Shah Kotla,129,132,Rajasthan Royals,Delhi Daredevils
62,63,IPL-2008,Mumbai,2008-04-20,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,normal,Royal Challengers Bangalore,0,5,MV Boucher,Wankhede Stadium,165,166,Mumbai Indians,Royal Challengers Bangalore
63,64,IPL-2008,Kolkata,2008-04-20,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,bat,normal,Kolkata Knight Riders,0,5,DJ Hussey,Eden Gardens,110,112,Deccan Chargers,Kolkata Knight Riders
64,65,IPL-2008,Jaipur,2008-04-21,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,bat,normal,Rajasthan Royals,0,6,SR Watson,Sawai Mansingh Stadium,166,168,Kings XI Punjab,Rajasthan Royals
65,66,IPL-2008,Hyderabad,2008-04-22,Deccan Chargers,Delhi Daredevils,Deccan Chargers,bat,normal,Delhi Daredevils,0,9,V Sehwag,"RGIS, Uppal",142,143,Deccan Chargers,Delhi Daredevils
