player,total_runs,out,numberofballs,average,strikerate
V Kohli,5426,152,4111,35.6973684210526,131.987351009487
SK Raina,5386,160,3916,33.6625,137.538304392237
RG Sharma,4902,161,3742,30.4472049689441,130.999465526456
DA Warner,4717,114,3292,41.3771929824561,143.286755771567
S Dhawan,4601,137,3665,33.5839416058394,125.538881309686
CH Gayle,4525,110,2972,41.1363636363636,152.254374158816
MS Dhoni,4450,118,3206,37.7118644067797,138.802245789145
RV Uthappa,4420,156,3381,28.3333333333333,130.730553090802
AB de Villiers,4414,104,2902,42.4423076923077,152.10199862164
G Gambhir,4219,134,3400,31.4850746268657,124.088235294118
AM Rahane,3834,117,3133,32.7692307692308,122.37472071497
KD Karthik,3669,138,2813,26.5869565217391,130.430145751866
SR Watson,3590,115,2566,31.2173913043478,139.906469212783
AT Rayudu,3313,114,2616,29.0614035087719,126.64373088685
YK Pathan,3222,110,2240,29.2909090909091,143.839285714286
BB McCullum,2886,106,2185,27.2264150943396,132.0823798627
PA Patel,2864,127,2352,22.5511811023622,121.768707482993
MK Pandey,2855,95,2352,30.0526315789474,121.386054421769
KA Pollard,2772,102,1879,27.1764705882353,147.525279403938
Yuvraj Singh,2755,109,2121,25.2752293577982,129.89156058463
V Sehwag,2728,98,1746,27.8367346938776,156.242840778923
M Vijay,2589,93,2104,27.8387096774194,123.051330798479
SE Marsh,2489,65,1866,38.2923076923077,133.386923901393
JH Kallis,2427,89,2219,27.2696629213483,109.373591707977
DR Smith,2385,81,1758,29.4444444444444,135.665529010239
SR Tendulkar,2334,71,1943,32.8732394366197,120.123520329388
SV Samson,2215,79,1693,28.0379746835443,130.832841110455
R Dravid,2174,77,1877,28.2337662337662,115.823122003197
AC Gilchrist,2069,76,1492,27.2236842105263,138.672922252011
SPD Smith,2038,59,1570,34.5423728813559,129.808917197452
JP Duminy,2031,49,1633,41.4489795918367,124.372320881813
KL Rahul,1988,49,1428,40.5714285714286,139.21568627451
MEK Hussey,1977,52,1608,38.0192307692308,122.94776119403
RA Jadeja,1931,83,1567,23.2650602409639,123.229100191449
F du Plessis,1861,56,1459,33.2321428571429,127.553118574366
DA Miller,1858,54,1327,34.4074074074074,140.015071590053
DPMD Jayawardene,1808,64,1460,28.25,123.835616438356
WP Saha,1767,74,1340,23.8783783783784,131.865671641791
RR Pant,1767,49,1071,36.0612244897959,164.985994397759
AJ Finch,1741,66,1332,26.3787878787879,130.705705705706
MK Tiwary,1696,60,1446,28.2666666666667,117.289073305671
SS Iyer,1695,57,1321,29.7368421052632,128.311884935655
KC Sangakkara,1687,69,1387,24.4492753623188,121.629416005768
NV Ojha,1555,74,1308,21.0135135135135,118.88379204893
Mandeep Singh,1535,71,1227,21.6197183098592,125.101874490628
DJ Bravo,1494,63,1155,23.7142857142857,129.350649350649
Q de Kock,1478,46,1109,32.1304347826087,133.273219116321
KK Nair,1465,61,1137,24.016393442623,128.847845206684
S Badrinath,1441,48,1210,30.0208333333333,119.090909090909
AD Russell,1415,41,752,34.5121951219512,188.164893617021
GJ Maxwell,1401,62,864,22.5967741935484,162.152777777778
BJ Hodge,1400,46,1117,30.4347826086957,125.335720680394
JC Buttler,1396,37,919,37.7297297297297,151.904243743199
SC Ganguly,1349,54,1261,24.9814814814815,106.978588421887
DJ Hussey,1322,48,1069,27.5416666666667,123.666978484565
KS Williamson,1309,34,964,38.5,135.788381742739
CA Lynn,1288,37,909,34.8108108108108,141.694169416942
SS Tiwary,1276,42,1064,30.3809523809524,119.924812030075
MA Agarwal,1269,67,988,18.9402985074627,128.441295546559
TM Dilshan,1153,41,1006,28.1219512195122,114.612326043738
IK Pathan,1150,52,948,22.1153846153846,121.308016877637
ML Hayden,1107,27,802,41,138.029925187032
N Rana,1093,40,808,27.325,135.272277227723
KM Jadhav,1087,46,851,23.6304347826087,127.732079905993
HH Pandya,1082,38,689,28.4736842105263,157.039187227866
LMP Simmons,1079,27,851,39.962962962963,126.792009400705
LRPL Taylor,1017,41,818,24.8048780487805,124.327628361858
M Vohra,1013,42,767,24.1190476190476,132.073011734029
KP Pietersen,1001,28,740,35.75,135.27027027027
AS Yadav,995,35,746,28.4285714285714,133.378016085791
Y Venugopal Rao,985,42,834,23.452380952381,118.10551558753
JA Morkel,975,40,682,24.375,142.961876832845
A Symonds,974,26,748,37.4615384615385,130.213903743316
CL White,971,35,760,27.7428571428571,127.763157894737
MC Henriques,969,35,756,27.6857142857143,128.174603174603
KH Pandya,897,32,609,28.03125,147.290640394089
HH Gibbs,886,32,802,27.6875,110.473815461347
STR Binny,880,44,683,20,128.843338213763
EJG Morgan,854,38,702,22.4736842105263,121.652421652422
Harbhajan Singh,831,56,597,14.8392857142857,139.195979899497
AR Patel,800,43,628,18.6046511627907,127.388535031847
MS Bisla,798,37,697,21.5675675675676,114.490674318508
SP Narine,785,40,458,19.625,171.397379912664
ST Jayasuriya,768,29,531,26.4827586206897,144.632768361582
RA Tripathi,761,27,553,28.1851851851852,137.613019891501
Shakib Al Hasan,750,34,588,22.0588235294118,127.551020408163
GC Smith,739,30,666,24.6333333333333,110.960960960961
AD Mathews,724,31,573,23.3548387096774,126.352530541012
Ishan Kishan,701,31,531,22.6129032258064,132.015065913371
TL Suman,676,30,573,22.5333333333333,117.975567190227
AM Nayar,672,39,574,17.2307692307692,117.073170731707
GJ Bailey,663,29,543,22.8620689655172,122.099447513812
BA Stokes,641,30,481,21.3666666666667,133.264033264033
SA Yadav,608,29,465,20.9655172413793,130.752688172043
JD Ryder,604,29,456,20.8275862068966,132.456140350877
P Shaw,604,24,423,25.1666666666667,142.789598108747
PP Chawla,584,50,519,11.68,112.52408477842
HM Amla,577,13,407,44.3846153846154,141.769041769042
V Shankar,563,17,416,33.1176470588235,135.336538461538
CJ Anderson,538,22,423,24.4545454545455,127.186761229314
RS Bopara,531,19,452,27.9473684210526,117.477876106195
JP Faulkner,527,28,387,18.8214285714286,136.175710594315
DJ Hooda,526,33,413,15.9393939393939,127.360774818402
CH Morris,519,20,327,25.95,158.715596330275
M Manhas,514,24,469,21.4166666666667,109.594882729211
S Gill,510,14,377,36.4285714285714,135.278514588859
OA Shah,506,13,386,38.9230769230769,131.088082901554
PC Valthaty,505,22,415,22.9545454545455,121.686746987952
MP Stoinis,476,15,362,31.7333333333333,131.491712707182
J Bairstow,459,8,284,57.375,161.619718309859
DT Christian,448,24,373,18.6666666666667,120.107238605898
Gurkeerat Singh,443,26,342,17.0384615384615,129.53216374269
E Lewis,437,16,327,27.3125,133.639143730887
NLTC Perera,424,24,305,17.6666666666667,139.016393442623
SA Asnodkar,423,19,339,22.2631578947368,124.778761061947
JR Hopes,417,17,305,24.5294117647059,136.72131147541
SN Khan,412,18,285,22.8888888888889,144.561403508772
J Botha,409,22,358,18.5909090909091,114.245810055866
LR Shukla,405,29,346,13.9655172413793,117.052023121387
AL Menaria,401,22,356,18.2272727272727,112.640449438202
MV Boucher,394,15,308,26.2666666666667,127.922077922078
CA Pujara,390,18,391,21.6666666666667,99.7442455242967
Azhar Mahmood,388,19,302,20.4210526315789,128.476821192053
R Ashwin,376,33,336,11.3939393939394,111.904761904762
DB Ravi Teja,375,20,317,18.75,118.296529968454
S Sohal,368,18,290,20.4444444444444,126.896551724138
A Mishra,366,29,385,12.6206896551724,95.0649350649351
P Negi,365,26,288,14.0384615384615,126.736111111111
R Bhatia,342,29,284,11.7931034482759,120.422535211268
P Kumar,340,34,314,10,108.28025477707
AP Tare,339,24,273,14.125,124.175824175824
SW Billings,337,19,250,17.7368421052632,134.8
JEC Franklin,327,11,300,29.7272727272727,109
RN ten Doeschate,326,17,234,19.1764705882353,139.316239316239
KV Sharma,317,21,270,15.0952380952381,117.407407407407
R Vinay Kumar,310,26,271,11.9230769230769,114.391143911439
DB Das,304,12,260,25.3333333333333,116.923076923077
C de Grandhomme,304,15,223,20.2666666666667,136.322869955157
M Ali,302,10,177,30.2,170.621468926554
LA Pomersbach,302,11,244,27.4545454545455,123.770491803279
UBT Chand,300,20,300,15,100
SP Goswami,295,18,290,16.3888888888889,101.724137931034
DJG Sammy,295,15,241,19.6666666666667,122.406639004149
Y Nagar,285,15,257,19,110.894941634241
VVS Laxman,282,16,266,17.625,106.015037593985
GH Vihari,280,18,312,15.5555555555556,89.7435897435897
A Ashish Reddy,280,15,191,18.6666666666667,146.596858638743
B Chipli,280,16,250,17.5,112
MJ Lumb,278,10,193,27.8,144.041450777202
MJ Guptill,271,12,196,22.5833333333333,138.265306122449
R Sathish,270,16,231,16.875,116.883116883117
M Kaif,259,16,249,16.1875,104.016064257028
SM Katich,241,10,184,24.1,130.978260869565
BCJ Cutting,239,11,141,21.7272727272727,169.503546099291
MD Mishra,237,15,208,15.8,113.942307692308
MR Marsh,225,12,196,18.75,114.795918367347
K Goel,218,13,230,16.7692307692308,94.7826086956522
AA Jhunjhunwala,217,14,210,15.5,103.333333333333
TM Head,205,6,148,34.1666666666667,138.513513513514
PD Collingwood,203,4,156,50.75,130.128205128205
SK Warne,198,19,213,10.4210526315789,92.9577464788732
SP Fleming,196,9,165,21.7777777777778,118.787878787879
AS Raut,194,11,167,17.6363636363636,116.167664670659
BJ Rohrer,193,7,141,27.5714285714286,136.879432624113
Salman Butt,193,7,161,27.5714285714286,119.875776397516
YV Takawale,192,8,178,24,107.865168539326
Bipul Sharma,187,6,121,31.1666666666667,154.545454545455
C Ingram,184,10,154,18.4,119.480519480519
B Kumar,184,23,189,8,97.3544973544974
FY Fazal,183,9,172,20.3333333333333,106.395348837209
