,player,total_runs,out,numberofballs,average,strikerate,wickets
0,V Kohli,5426,152,4111,35.6973684210526,131.987351009487,4
1,SK Raina,5386,160,3916,33.6625,137.538304392237,25
2,RG Sharma,4902,161,3742,30.4472049689441,130.999465526456,15
3,DA Warner,4717,114,3292,41.3771929824561,143.286755771567,0
4,S Dhawan,4601,137,3665,33.5839416058394,125.538881309686,4
5,CH Gayle,4525,110,2972,41.1363636363636,152.254374158816,18
6,MS Dhoni,4450,118,3206,37.7118644067797,138.802245789145,0
7,RV Uthappa,4420,156,3381,28.3333333333333,130.730553090802,0
8,AB de Villiers,4414,104,2902,42.4423076923077,152.10199862164,0
9,G Gambhir,4219,134,3400,31.4850746268657,124.088235294118,0
10,AM Rahane,3834,117,3133,32.7692307692308,122.37472071497,1
11,KD Karthik,3669,138,2813,26.5869565217391,130.430145751866,0
12,SR Watson,3590,115,2566,31.2173913043478,139.906469212783,90
13,AT Rayudu,3313,114,2616,29.0614035087719,126.64373088685,0
14,YK Pathan,3222,110,2240,29.2909090909091,143.839285714286,41
15,BB McCullum,2886,106,2185,27.2264150943396,132.0823798627,0
16,PA Patel,2864,127,2352,22.5511811023622,121.768707482993,0
17,MK Pandey,2855,95,2352,30.0526315789474,121.386054421769,0
18,KA Pollard,2772,102,1879,27.1764705882353,147.525279403938,56
19,Yuvraj Singh,2755,109,2121,25.2752293577982,129.89156058463,35
20,V Sehwag,2728,98,1746,27.8367346938776,156.242840778923,6
21,M Vijay,2589,93,2104,27.8387096774194,123.051330798479,0
22,SE Marsh,2489,65,1866,38.2923076923077,133.386923901393,0
23,JH Kallis,2427,89,2219,27.2696629213483,109.373591707977,63
24,DR Smith,2385,81,1758,29.4444444444444,135.665529010239,26
25,SR Tendulkar,2334,71,1943,32.8732394366197,120.123520329388,0
26,SV Samson,2215,79,1693,28.0379746835443,130.832841110455,0
27,R Dravid,2174,77,1877,28.2337662337662,115.823122003197,0
28,AC Gilchrist,2069,76,1492,27.2236842105263,138.672922252011,1
29,SPD Smith,2038,59,1570,34.5423728813559,129.808917197452,0
30,JP Duminy,2031,49,1633,41.4489795918367,124.372320881813,22
31,KL Rahul,1988,49,1428,40.5714285714286,139.21568627451,0
32,MEK Hussey,1977,52,1608,38.0192307692308,122.94776119403,0
33,RA Jadeja,1931,83,1567,23.2650602409638,123.229100191449,108
34,F du Plessis,1861,56,1459,33.2321428571429,127.553118574366,0
35,DA Miller,1858,54,1327,34.4074074074074,140.015071590053,0
36,DPMD Jayawardene,1808,64,1460,28.25,123.835616438356,0
37,WP Saha,1767,74,1340,23.8783783783784,131.865671641791,0
38,RR Pant,1767,49,1071,36.0612244897959,164.985994397759,0
39,AJ Finch,1741,66,1332,26.3787878787879,130.705705705706,1
40,MK Tiwary,1696,60,1446,28.2666666666667,117.289073305671,1
41,SS Iyer,1695,57,1321,29.7368421052632,128.311884935655,0
42,KC Sangakkara,1687,69,1387,24.4492753623188,121.629416005768,0
